"year","accession_name","accession","berry_length","berry_width","berry_weight","num_seeds","num_peds","num_berries","total_berry_weight","row","column"
2012,"CNJ04_2_9","R3C9",24.52,16.52,2.6233,16,4.1,1.7,4.262,"3","9"
2012,"CNJ04_21_1","R4C1",20.61,17.53,2.6797,15.1428571428571,2.7,1.5,3.9308,"4","1"
2012,"CNJ04_21_10","R4C10",22.85,17.63,3.1608,23.5,4.5,2.3,6.9161,"4","10"
2012,"CNJ04_21_11","R4C11",23.46,17.79,2.7527,20.9,4.1,2.7,6.1265,"4","11"
2012,"CNJ04_21_12","R4C12",25.75,17.76,3.0554,18.8,3,2,5.5666,"4","12"
2012,"CNJ04_21_13","R4C13",21.37,18.74,2.87988888888889,21.6666666666667,2.66666666666667,2.11111111111111,5.7096,"4","13"
2012,"CNJ04_21_14","R4C14",24.42,17.74,3.1456,18.7,4,1.375,4.2003,"4","14"
2012,"CNJ04_21_15","R4C15",21.98,17.34,2.4954,17.5,3.6,2.3,4.9658,"4","15"
2012,"CNJ04_21_16","R4C16",23.78,17.65,2.8789,17.9,3.5,1.8,4.4625,"4","16"
2012,"CNJ04_21_17","R4C17",19.32,15.69,1.9187,11.7,3.3,2,3.345,"4","17"
2012,"CNJ04_21_18","R4C18",22.91,18.15,3.0459,22.7,2.7,1.8,5.3703,"4","18"
2012,"CNJ04_21_19","R4C19",21.72,17.37,2.5406,19.4,3.8,1.4,3.6179,"4","19"
2012,"CNJ04_21_2","R4C2",19.77,17,2.2145,14.4444444444444,3.6,1.8,3.2099,"4","2"
2012,"CNJ04_21_20","R4C20",20.55,17.67,2.7337,16.2,5.6,3.2,7.0539,"4","20"
2012,"CNJ04_21_21","R4C21",20.9666666666667,16.7666666666667,2.50433333333333,21.6666666666667,4.66666666666667,2.55555555555556,5.29355555555556,"4","21"
2012,"CNJ04_21_22","R4C22",22.28,17.31,2.9307,12.1,3.4,1.9,5.1232,"4","22"
2012,"CNJ04_21_23","R4C23",22.28,17.16,2.5001,15.6,5.6,2.7,5.5761,"4","23"
2012,"CNJ04_21_24","R4C24",21.97,18.26,2.9509,14,2.9,2,4.988,"4","24"
2012,"CNJ04_21_25","R4C25",23.2,19.12,3.3746,24.1,4.2,2.2,6.2467,"4","25"
2012,"CNJ04_21_26","R4C26",20.95,17.75,2.7583,21.4,3.7,2,4.7054,"4","26"
2012,"CNJ04_21_27","R4C27",21.56,17.54,2.7169,17.6,2.625,1.75,4.2036,"4","27"
2012,"CNJ04_21_28","R4C28",20.45,17.87,2.5806,21.3,4,1.8,4.3596,"4","28"
