"","x"
"1","CNJ02_1_167"
"2","CNJ02_1_171"
"3","CNJ02_1_172"
"4","CNJ02_1_177"
"5","CNJ02_1_181"
"6","CNJ02_1_182"
"7","CNJ02_1_187"
"8","CNJ02_1_188"
"9","CNJ02_1_189"
"10","CNJ02_1_191"
"11","CNJ02_1_193"
"12","CNJ02_1_198"
"13","CNJ02_1_200"
"14","CNJ02_1_201"
"15","CNJ02_1_203"
"16","CNJ02_1_204"
"17","CNJ02_1_225"
"18","CNJ02_1_226"
"19","CNJ02_1_228"
"20","CNJ02_1_235"
