row,column,accession_name,year,month,TY,SFY,MFM,PFR,Tacy,Brix,TA,PAC
4,30,CNJ04_21_30,2011,September,598.6,587.3,2.4,1.9,20,7.9,2.5,1.26
4,31,CNJ04_21_31,2011,September,350.6,331.8,2.8,5.4,22,6.8,2.75,1.52
4,32,CNJ04_21_32,2011,September,343.6,311.9,2.9,9,22,7.3,2.56,1.7
4,33,CNJ04_21_33,2011,September,565.9,554.1,2.5,2.1,10,7.9,2.5,1.49
4,34,CNJ04_21_34,2011,September,660.5,630.7,2.5,4.5,14,8.1,2.31,1.42
4,35,CNJ04_21_35,2011,September,353.1,302.6,2.4,14.2,17,9.2,2.37,1.19
4,36,CNJ04_21_36,2011,September,387.5,369.5,3,4.6,17,7.7,2.27,1.95
3,1,CNJ04_2_1,2011,October,612.6,496.2,2.4,19,19,8.14,2.55,0.95
3,2,CNJ04_2_2,2011,October,696.9,599.1,2.8,14,19,7.26,2.48,1.51
3,3,CNJ04_2_3,2011,October,327.9,315.6,2.3,3.8,30,8.58,2.5,1.23
3,4,CNJ04_2_4,2011,October,555.6,401.9,2.3,27.6,34,7.7,2.21,1.23
3,5,CNJ04_2_5,2011,October,561.9,410.1,2.6,27,19,8.8,2.41,1.52
3,6,CNJ04_2_6,2011,October,667.7,513.9,2.7,23,19,8.14,2.5,1.38
3,7,CNJ04_2_7,2011,October,329.4,265.2,2.3,19.3,30,8.8,2.05,1.52
3,8,CNJ04_2_8,2011,October,648.6,531.7,2.6,18,15,8.36,2.47,1.43
3,9,CNJ04_2_9,2011,October,210.4,146.6,2.2,30.2,20,9.02,2.48,1.74
3,10,CNJ04_2_10,2011,October,369.1,309.4,2.7,16.2,19,9.24,2.25,1.22
3,11,CNJ04_2_11,2011,October,706.4,628,2.9,11.1,20,8.14,2.33,1.12
3,12,CNJ04_2_12,2011,October,578.4,432,2.6,25.3,13,7.92,2.38,0.94
3,13,CNJ04_2_13,2011,October,527.6,371,2.7,29.7,23,7.92,2.57,1.12
3,14,CNJ04_2_14,2011,October,659.7,579.7,2.8,12.1,13,8.8,2.34,1.16
3,15,CNJ04_2_15,2011,October,652.7,585.8,2.6,10.1,13,7.92,2.77,1.05
3,16,CNJ04_2_16,2011,October,652.3,584,2.4,10.4,22,7.48,2.23,0.95
3,17,CNJ04_2_17,2011,October,569.1,443.6,2.7,22.1,22,7.7,2.25,1.26
3,18,CNJ04_2_18,2011,October,403.8,323.2,2.3,19.8,14,9.46,2.2,0.64
3,19,CNJ04_2_19,2011,October,484.6,433.7,2.6,10.4,24,8.8,2.52,1.36
3,20,CNJ04_2_20,2011,October,407.8,346.1,2.2,15.1,8,8.8,2.71,1.26
3,21,CNJ04_2_21,2011,October,807,780.1,2.8,3.3,14,8.58,2.5,1.01
3,22,CNJ04_2_22,2011,October,195.8,122.3,2.5,37.5,25,8.14,2.54,1.25
3,23,CNJ04_2_23,2011,October,583.9,541.5,2.3,7.3,30,8.58,2.29,1.22
3,24,CNJ04_2_24,2011,October,571.5,529.4,2.9,7.4,28,8.14,2.53,1.4
3,25,CNJ04_2_25,2011,October,647.7,492.9,3,23.6,31,7.26,2.72,1.56
3,26,CNJ04_2_26,2011,October,464.9,375.5,2.7,19.2,13,8.14,2.19,0.94
3,27,CNJ04_2_27,2011,October,636.3,507.6,2.6,20.2,30,9.46,2.2,1.23
3,28,CNJ04_2_28,2011,October,428.2,331.1,2.5,22.7,27,7.92,2.47,1.43
3,29,CNJ04_2_29,2011,October,303.6,252.2,2.3,16.9,23,9.24,2.49,1.31
3,30,CNJ04_2_30,2011,October,663.8,493.3,2.7,25.7,13,7.48,2.56,1.25
3,31,CNJ04_2_31,2011,October,668.9,640.7,2.8,4.2,10,8.14,2.78,1.43
3,32,CNJ04_2_32,2011,October,766.6,715.3,2.4,6.7,15,8.58,2.58,1.67
3,33,CNJ04_2_33,2011,October,406.1,323.8,2.6,20.3,32,8.36,2.46,1.2
3,34,CNJ04_2_34,2011,October,709,690,2.6,2.7,29,8.36,2.54,1.49
3,35,CNJ04_2_35,2011,October,333.5,309.6,2.5,7.2,21,7.92,2.25,1.35
3,36,CNJ04_2_36,2011,October,526.9,333.1,2.3,36.8,21,8.36,2.43,1.1
4,1,CNJ04_21_1,2011,October,363.4,294,3,18.8,24,8.14,2.59,0.97
4,2,CNJ04_21_2,2011,October,386.8,338.8,2,12.4,19,8.14,2.29,1.21
4,3,CNJ04_21_3,2011,October,377.5,344.3,2.4,8.8,30,8.58,2.28,1.5
4,4,CNJ04_21_4,2011,October,508.8,437.7,2.6,14,33,9.02,2.1,1.47
4,5,CNJ04_21_5,2011,October,577.1,547.2,2.5,5.1,17,8.14,2.4,1.04
4,6,CNJ04_21_6,2011,October,438.8,407.1,2.6,6.4,14,7.7,2.71,1.22
4,7,CNJ04_21_7,2011,October,605,536.2,2.8,11.4,22,8.36,2.4,1.43
