"","berry_length","berry_width","berry_weight","num_seeds","num_peds","num_berries","total_berry_weight"
"berry_length",1,0.636678074003398,0.829705079260938,0.215890454673198,0.00355072395529903,0.214524162013594,0.652290058618454
"berry_width",0.636678074003398,1,0.885536319819487,0.485805904740229,0.144942042382621,0.28534713710734,0.733089339555059
"berry_weight",0.829705079260938,0.885536319819487,1,0.396477816499445,0.0366090848156719,0.247776717514776,0.782407896392573
"num_seeds",0.215890454673198,0.485805904740229,0.396477816499445,1,0.223481961088757,0.153234214816151,0.334439931406373
"num_peds",0.00355072395529903,0.144942042382621,0.0366090848156719,0.223481961088757,1,0.484407356610262,0.305339709144165
"num_berries",0.214524162013594,0.28534713710734,0.247776717514776,0.153234214816151,0.484407356610262,1,0.751076635697914
"total_berry_weight",0.652290058618454,0.733089339555059,0.782407896392573,0.334439931406373,0.305339709144165,0.751076635697914,1
