accession,accession_name,row,column,year,BBI_UTBM,BBI_TY,BBI_SFY,num_peds,num_no_fruit,num_berries,num_aborted_flower,num_aborted_berries,total_berry_weight,upright_length,secondary_growth,dry_wt_leaves,berry_length,berry_width,berry_weight,num_seeds,calyx_diam,calyx_lobe_form,calyx_lobe_size,berry_skin,rebud,chimera_LvW,chimera_eccentricity,chimera_solidity,chimera_tortuosity,chimera_umccLogX,chimera_umccLogY,ULvW,UMFM,TY,SFY,MFM,PFR,Tacy,Brix,TA,PAC
R3C13,CNJ04_2_13,3,13,2014,NA,NA,NA,4.3,NA,2,0.2,0.1,3.7467,2.25,NA,NA,19.76,15.85,1.9943,19.4,2.95,0.4,1.6,1.6,0,1.49815262191294,0.744619894480314,0.989215760993827,89.4096655293983,459.556580711244,440.148459655565,1.2466876971608833,1.87335,273.05,261.5,1.9,3.95,31,8.1,2.455,1.22
R3C14,CNJ04_2_14,3,14,2011,0.06798069187449712,0.4164303079416532,0.45969251716117315,4.4,0.6,2.4,0.9,0.5,5.31,5.16,2.62,0.1369,22.572,17.593,2.696,16.1,2.981,1.9,2,1.1,1,1.52425188681813,0.754709131280887,0.98936170212766,86.4096655293983,466.488052516843,440.148459655565,1.2830102881827998,2.2125,699.1500000000001,643.25,2.65,8.2,9,8.600000000000001,2.335,1.2799999999999998
R3C14,CNJ04_2_14,3,14,2012,NA,NA,NA,4.5,1.4,1.7,0.8,0.6,4.634,3.62222222222222,2.76666666666667,0.1242,24.06,18.11,2.8611,16.6,2.63,1.2,1.7,1.7,0.2,1.44876543749112,0.723577772811705,0.989069379080006,98.5,449.159373002845,437.375870933325,1.3285477636664826,2.7258823529411766,288.05,238.10000000000002,2.3,16.8,22,9,2.6,1.525
R3C14,CNJ04_2_14,3,14,2014,NA,NA,NA,5.6,0.7,1.7,0.7,NA,2.9918,2.62,NA,NA,19.31,15.47,1.9018,17.4,3.04,0.7,1.2,1.1,0,1.46725581051598,0.731776750929143,0.990860071130827,84.2951672353009,450.545667363964,435.989576572206,1.2482223658694245,1.7598823529411765,297.04999999999995,268.55,1.7,11.399999999999999,26,8.25,2.545,1.4449999999999998
R3C15,CNJ04_2_15,3,15,2011,0.07229374706492171,0.2844336844860303,0.29975106164885046,4.2,1,1.8,0.8,0.6,5.235,3.39,1.48333333333333,0.0758,23.161,19.745,3.434,22.1,3.222,0.3,0.6,1.5,1,1.49474016985014,0.743251066346965,0.989569005043558,97.6144982940974,474.805818683563,449.159373002845,1.1730058242593062,2.9083333333333337,490.75,443.79999999999995,2.85,9.149999999999999,10,8.01,2.665,1.21
R3C15,CNJ04_2_15,3,15,2012,NA,NA,NA,3.2,0.3,1.8,0.3,0.8,6.0509,3.48,2.275,0.1929,22.73,18.99,3.5099,17.6,3.14,1.4,1.4,1.9,0.5,1.43326967678901,0.716384790558589,0.990094124791255,98.5,443.614195558365,434.603282211086,1.1969457609268037,3.3616111111111113,273.4,239.1,2.8499999999999996,10.8,16,9.45,3.08,1.195
R3C15,CNJ04_2_15,3,15,2014,NA,NA,NA,5.3,0.5,1.9,1.1,1.8,4.714,5.05,NA,NA,20,18.25,2.73,19.9,2.89,1.6,1.8,1.6,0.5,1.20887267934936,0.561882619059755,0.991110770527606,123,436.682723752766,450.545667363964,1.095890410958904,2.481052631578948,394.29999999999995,372.1,2.3,5.6,21,8.25,2.605,1.155
R3C16,CNJ04_2_16,3,16,2011,0.21929294455355794,0.023409963701404538,0.08443738934000858,5.1,1.2,2,0.9,1,4.134,3.33,3.13333333333333,0.0891,21.319,17.441,2.407,23.1,2.842,0.5,1,1.9,0.9,1.55970264097694,0.767417376822317,0.989861259338314,89.2048327646991,484.509879211402,449.159373002845,1.2223496359153718,2.067,486.34999999999997,444.05,2.4,7.75,17.5,7.79,2.315,1.0699999999999998
R3C16,CNJ04_2_16,3,16,2012,NA,NA,NA,4.2,1.1,2.5,0.2,0.4,6.4564,4.35,5.68571428571429,0.1446,23.62,18.16,3.0419,18.4,2.73,0.7,1.5,2.1,0.6,1.46725581051598,0.731776750929143,0.990860071130827,84.2951672353009,450.545667363964,435.989576572206,1.300660792951542,2.58256,464.1,374.9,2.6,17,22.5,8.25,2.465,1.345
R3C16,CNJ04_2_16,3,16,2014,NA,NA,NA,5.4,0.8,2.4,0.5,1.7,5.171,3.66,1.5,NA,21.54,17.47,2.6333,22.1,2.78,1.3,1.3,1.6,0.1,1.43402480568385,0.716742425127632,0.989180128009753,107.5,453.318256086204,439.455312475005,1.2329708070978822,2.1545833333333335,323.6,284.25,2,12.05,24.5,8,2.3550000000000004,1.0550000000000002
R3C17,CNJ04_2_17,3,17,2011,0.2420562786301171,0.22605025520219862,0.20963172804532587,4.8,0.3,3.5,0.7,0.3,8.541,4.36,3.2,0.1088,22.296,19.016,2.988,15.5,2.841,1.4,1,1.5,1,1.54926909500924,0.763789290882834,0.988528163358954,117.5,494.907086919801,458.863433530684,1.1724863273033237,2.4402857142857144,624.55,512.4000000000001,2.6,18.25,18.5,7.6,2.4850000000000003,1.375
R3C17,CNJ04_2_17,3,17,2012,NA,NA,NA,4.1,0.6,2.4,0.7,0.4,5.212,5.69,6.1625,0.1707,20.68,16.95,2.4466,9.7,2.74,1.9,1.2,2.4,0.2,1.44705820232611,0.722800066639646,0.989872839412168,100,447.773078641725,437.375870933325,1.2200589970501474,2.171666666666667,394.25,334.8,2.35,9.5,29,10,2.8600000000000003,1.65
R3C17,CNJ04_2_17,3,17,2014,NA,NA,NA,4.5,0.8,2.9,0.5,0.3,5.252,3.93,2.35,NA,18.5,17.14,2.195,14.4,2.97,2,0.3,1.1,0,1.12311668918315,NA,0.990695002871913,122.409665529398,424.206074502687,453.318256086204,1.0793465577596266,1.8110344827586207,130.1,120.05,1.9,7.7,40,8.8,2.4749999999999996,1.26
R3C18,CNJ04_2_18,3,18,2011,0.08912906401761118,0.28847058823529415,0.28057040998217464,5.2,1.4,2.1,0.9,0.8,4.117,3.2,1.45,0.0679,21.9,17.51,2.36,22.8,2.796,0.6,1,1.8,0.9,1.45378787169003,0.725845031810185,0.99104466138827,103,475.498965864123,450.545667363964,1.2507138777841231,1.9604761904761905,410.70000000000005,359.2,2.25,12.600000000000001,10,8.93,2.305,0.885
R3C18,CNJ04_2_18,3,18,2012,NA,NA,NA,3.3,0.5,2.1,0.5,0.2,4.9227,3.23,1.4,0.1019,24.18,18,2.8399,24,2.72,0.9,2,1.7,0.8,1.46725581051598,0.731776750929143,0.990860071130827,84.2951672353009,450.545667363964,435.989576572206,1.3433333333333333,2.344142857142857,226.8,201.8,2.2,8.3,21,8.7,2.635,1.395
R3C18,CNJ04_2_18,3,18,2014,NA,NA,NA,3.66666666666667,0.333333333333333,2.88888888888889,0.111111111111111,0.333333333333333,5.617,3.4,1.1,NA,20.01,17.11,2.298,19.9,2.66,1.2,1.33333333333333,1.6,0.4,1.42012770643902,0.710039325713677,0.989629799077357,104.5,449.852520183405,440.841606836125,1.169491525423729,1.944346153846153,394.6,385.84999999999997,1.7999999999999998,2.05,19.5,8.35,2.5149999999999997,1.405
R3C19,CNJ04_2_19,3,19,2011,0.1655273339614698,0.06470492602828819,0.10276900204422973,4.7,0.9,2.4,0.9,0.5,5.814,4,4,0.1124,21.447,16.951,2.578,18.6666666666667,2.946,1.2,1.7,1.7,1,1.50383162714665,0.746871795483204,0.990475097544182,100.114498294097,483.816732030842,455.397697627884,1.265235089375258,2.4225000000000003,327.45000000000005,296.7,2.4000000000000004,8.3,17.5,8.8,2.5149999999999997,1.2650000000000001
R3C19,CNJ04_2_19,3,19,2012,NA,NA,NA,3.44444444444444,0.888888888888889,1.77777777777778,0.333333333333333,0.444444444444444,4.1626,3.79,2.32,0.106,20.61,17.17,2.5635,10.2,2.82,1.5,1.5,1.7,0.9,1.41035404546152,0.705166431933139,0.989619771863118,95,435.296429391646,433.216987849966,1.2003494467093767,2.3414624999999973,287.65,241.39999999999998,2.5,13.45,29,9.55,2.785,1.725
