year,accession_name,accession,row,column,berry_length,berry_width,berry_weight,num_seeds,num_peds,num_berries,total_berry_weight,upright_length,secondary_growth,dry_wt_leaves,ULvW,UMFW,TY_September,TY_October,SFY_September,SFY_October,MFW_September,MFW_October,PFR_September,PFR_October,Tacy_September,Tacy_October,Brix_September,Brix_October,TA_September,TA_October,PAC_September,PAC_October
2011,CNJ04_2_29,R3C29,3,29,25.713,18.153,3.165,22.7,3.6,2.6,7.27,3.43,1.225,0.083,1.4164600892414478,2.796153846153846,367.8,303.6,355.5,252.2,2.8,2.3,3.3,16.9,14,23,9.2,9.24,2.77,2.49,1.77,1.31
2011,CNJ04_2_3,R3C3,3,3,21.803,18.41,2.535,16.3,3.7,1.6,3.622,3.15,NA,0.0737,1.184302009777295,2.26375,293.4,327.9,280.2,315.6,2.5,2.3,4.4,3.8,14,30,8.1,8.58,2.69,2.5,1.36,1.23
2011,CNJ04_2_30,R3C30,3,30,24.595,18.337,2.976,19.9,4.2,2.2,5.366,3.36,2.5,0.078,1.3412771991056334,2.4390909090909085,473.3,663.8,459.1,493.3,2.5,2.7,3,25.7,11,13,8.1,7.48,2.44,2.56,1.2,1.25
2011,CNJ04_2_31,R3C31,3,31,24.058,18.572,3.101,19,4.7,2.6,6.953,3.03,2.65,0.0798,1.2953909110488908,2.6742307692307694,541.8,668.9,514.2,640.7,2.8,2.8,5.1,4.2,9,10,8.8,8.14,2.61,2.78,1.15,1.43
2011,CNJ04_2_32,R3C32,3,32,20.9071428571429,18.075,2.171,22.4,4.44444444444444,2.11111111111111,4.475,3.77,2.6,0.0879,1.156688401501682,2.1197368421052643,698.3,766.6,664,715.3,2.5,2.4,4.8,6.7,11,15,8.1,8.58,2.53,2.58,1.47,1.67
2011,CNJ04_2_33,R3C33,3,33,23.603,17.459,2.828,16.5,3.2,2.2,5.973,4.07,1.6,0.0771,1.3519101895870327,2.715,402,406.1,382.5,323.8,2.5,2.6,4.8,20.3,17,32,7.7,8.36,2.53,2.46,1.63,1.2
2011,CNJ04_2_34,R3C34,3,34,22.667,18.764,3.01,27.4,3.8,2.7,7.372,4.74,1.2,0.0958,1.2080046898315926,2.73037037037037,570.9,709,548.2,690,2.5,2.6,3.9,2.7,20,29,7.9,8.36,2.58,2.54,1.23,1.49
2011,CNJ04_2_35,R3C35,3,35,25.266,18.293,3.361,17.1,3.8,2.3,6.945,3.14,NA,0.0632,1.3811840594763023,3.0195652173913046,397.7,333.5,368.3,309.6,2.7,2.5,7.1,7.2,7,21,8.6,7.92,2.36,2.25,1.43,1.35
2011,CNJ04_2_36,R3C36,3,36,21.531,17.216,2.635,22.9,4.6,2.2,5.246,2.71111111111111,2.2,0.0537,1.2506389405204459,2.3845454545454547,529.1,526.9,445.2,333.1,2.4,2.3,15.6,36.8,13,21,8.4,8.36,2.67,2.43,1.22,1.1
2011,CNJ04_2_4,R3C4,3,4,20.712,17.809,2.463,22.1,4,2.3,5.096,3.21,1.26,0.0667,1.1630074681340894,2.2156521739130435,355.9,555.6,300.2,401.9,2.1,2.3,15.6,27.6,27,34,8.1,7.7,2.18,2.21,1.37,1.23
2011,CNJ04_2_5,R3C5,3,5,24.39,18.74,2.912,22.1,3.4,2,5.299,4.1,2.6,0.0898,1.301494130202775,2.6495,351.7,561.9,306.9,410.1,2.3,2.6,12.7,27,10,19,8.6,8.8,2.66,2.41,1.64,1.52
2011,CNJ04_2_6,R3C6,3,6,24.146,19.117,3.197,22.2,4.3,2.9,8.045,4.53,1.15,0.0984,1.263064288329759,2.774137931034483,605.9,667.7,574,513.9,2.5,2.7,5.3,23,17,19,8.8,8.14,2.64,2.5,1.35,1.38
2011,CNJ04_2_7,R3C7,3,7,22.066,18.971,2.851,21.1,3.3,1.8,4.537,4.23,1.66666666666667,0.0568,1.1631437457171472,2.5205555555555557,235.6,329.4,228.7,265.2,2.1,2.3,2.9,19.3,16,30,8.6,8.8,2.28,2.05,1.74,1.52
2011,CNJ04_2_8,R3C8,3,8,23.696,18.517,2.837,20.2,3.9,2,5.228,4.08,1.88333333333333,0.0959,1.2796889344926285,2.614,549.7,648.6,506.9,531.7,2.4,2.6,7.4,18,8,15,7.3,8.36,2.52,2.47,1.22,1.43
2011,CNJ04_2_9,R3C9,3,9,24.8177777777778,16.5988888888889,2.55,19.6,3.4,1.4,3.173,4.15555555555556,1.9,0.0794,1.4951469308521321,2.2664285714285715,283.6,210.4,254.8,146.6,2.4,2.2,10.2,30.2,8,20,8.1,9.02,2.69,2.48,1.63,1.74
2011,CNJ04_21_1,R4C1,4,1,22.791,19.631,3.179,27.6,4.2,1.2,3.878,3.68,1,0.05269,1.160969894554531,3.231666666666667,120,363.4,108,294,2.9,3,9.9,18.8,20,24,8.6,8.14,2.25,2.59,1.27,0.97
2011,CNJ04_21_10,R4C10,4,10,25.6477777777778,19.1077777777778,3.43444444444444,21.6666666666667,4.625,1.875,5.75222222222222,3.17777777777778,2.03333333333333,0.0677777777777778,1.3422690004070472,3.0678518518518505,349.9,426.5,318.5,386.4,3.1,3.1,9,9.4,14,26,7.7,8.36,2.3,2.47,1.45,1.18
2011,CNJ04_21_11,R4C11,4,11,22.874,18.494,2.726,23,4.9,2.5,5.789,3.71,1.6,0.0982,1.23683356764356,2.3156,396.6,656.7,360.7,624.7,2.5,2.5,9.1,4.9,16,17,6.8,7.26,2.56,2.52,1.35,1.07
2011,CNJ04_21_12,R4C12,4,12,25.233,18.202,2.944,25.4,4,2.625,6.856,2.28,2.4,0.08,1.386276233380947,2.611809523809524,468.2,243.1,463.4,226.6,2.6,2.6,1,6.8,17,27,7.3,7.04,2.48,2.45,1.75,1.39
2011,CNJ04_21_13,R4C13,4,13,21.802,18.481,2.909,21.8,4.8,2.1,5.562,2.98,0.7,0.065,1.179698068286348,2.6485714285714286,418.5,453.3,405.8,443,2.5,2.4,3,2.3,8,26,8.1,8.8,2.51,2.29,1.31,1.18
2011,CNJ04_21_14,R4C14,4,14,23.646,18.148,2.807,25,4.2,2.2,5.436,4.18,1.6,0.0722,1.3029534934979061,2.4709090909090907,586.4,851.7,488.5,700,2.9,2.5,16.7,17.8,15,17,7.3,7.26,2.49,2.34,2.12,1.55
2011,CNJ04_21_15,R4C15,4,15,21.272,16.735,2.347,19,4.2,1.5,3.49,2.39,1.9,0.0609,1.271108455333134,2.3266666666666667,442,305.1,387.3,287.5,2.4,2.1,12.4,5.8,12,41,8.4,8.36,2.45,2.4,1.62,1.92
2011,CNJ04_21_16,R4C16,4,16,22.041,17.006,2.502,18.6,5.4,2.1,4.141,2.97,NA,0.0571,1.296071974597201,1.9719047619047618,362.5,190.3,330.7,128.5,2,2.2,8.3,32.5,8,27,9.2,9.46,2.31,2.26,1.89,1.86
2011,CNJ04_21_17,R4C17,4,17,21.914,16.831,2.398,13,4.3,2.3,4.689,4.08,4.8,0.0836,1.3020022577386965,2.0386956521739132,121.9,305.1,92.7,265.7,1.9,1.9,24,12.9,14,15,9.5,8.8,2.44,2.61,2.02,1.45
2011,CNJ04_21_18,R4C18,4,18,22.761,18.007,2.846,21.9,3.3,1.5,4.223,3.48,2.4,0.0595,1.2640084411617702,2.8153333333333332,530.5,515.2,429.8,464.8,2.3,2.7,18.9,9.8,12,22,7.9,8.14,2.33,2.47,1.63,1.65
