year,accession_name,accession,row,column,UNP,UN0,UNB,UNAF,UNAB,UTBM,UL,USL,UDM,UBL,UBW,UBM,UNS,UCD,UCLP,UCLS,UBBL,URB,UKLvW,UKEC,UKSO,UKTO,UKUX,UKUY,ULvW,UMFM,TYSep,TYOct,SFYSep,SFYOct,MFMSep,MFMOct,PFRSep,PFROct,TacySep,TacyOct,BrixSep,BrixOct,TASep,TAOct,PACSep,PACOct
11,CNJ02_1_1,R7C46,7,46,5,0.6,2.6,0.9,0.9,6.278,2.66,0.4,0.0317,24.037,18.051,2.785,19.8,2.743,1.4,0.6,1.8,0.9,1.52425188681813,0.754709131280887,0.98936170212766,86.4096655293983,466.488052516843,440.148459655565,1.3316159769541853,2.4146153846153844,507.4,509.6,268.6,315.1,2.3,2.4,46.6,38.1,19,35,7.9,8.1,2.28,2.5,2.07,1.59
11,CNJ02_1_10,R8C1,8,1,3.2,0,2.3,0.3,0.6,4.923,4.44,2.3,0.0909,22.163,18.494,2.493,19.5,3.097,1.1,1.1,1,0.9,1.34443323326222,0.668393502513594,0.988547993964483,117.204832764699,488.668762294761,469.260641239083,1.1983886665945713,2.140434782608696,128.8,273.1,76.2,110.3,1.5,1.8,40.1,59.5,32,45,8.8,8.8,2.18,2.43,2.24,2.03
11,CNJ02_1_100,R9C37,9,37,4.72727272727273,0.454545454545455,2.18181818181818,1.18181818181818,0.909090909090909,5.75090909090909,2.96363636363636,2,0.0676363636363636,22.0727272727273,19.3181818181818,2.83,23,2.61,1.81818181818182,1,1.72727272727273,0.636363636363636,1.11816714637344,0.447426558935287,0.990731520490234,122.5,426.285516044366,454.011403266764,1.1425882352941201,2.6358333333333355,433.9,449.2,191.1,179,2.1,2.3,55.8,60.1,37,46,8.8,8.6,2.16,2.44,1.45,1.35
11,CNJ02_1_101,R9C38,9,38,4.7,1.1,2.1,1,0.5,5.981,3.64,NA,0.0842,22.65,19.57,3.149,26,2.93,1,0.9,1.4,0.8,1.59887353367515,0.780271995012422,0.990467804915397,93,494.213939739241,455.397697627884,1.1573837506387326,2.848095238095238,517.9,659.2,445.1,523.7,2.6,2.7,14,20.5,21,25,9,9.2,2.41,2.63,1.82,1.48
11,CNJ02_1_102,R9C39,9,39,4,0,2,1.3,0.7,5.744,3.2,1.4,0.0663,23.693,19.392,3.109,26.3,2.851,1.1,1.3,1.8,1,1.38585466054885,0.692334829791977,0.990779676710003,121,475.498965864123,455.397697627884,1.221792491749175,2.872,539,896.8,485.9,772.6,2.4,2.4,9.7,13.8,19,18,8.1,7.3,2.25,2.41,1.46,1.02
11,CNJ02_1_103,R9C40,9,40,3.5,0,1.7,1.2,0.6,4.221,4.11,1.05,0.0929,23.061,18.334,2.723,27.6,2.839,0.4,1.9,1.8,1,1.2409606333955,0.592150577328473,0.990730769230769,115.5,449.159373002845,454.011403266764,1.2578269881095232,2.482941176470588,332.9,225.9,286,169.4,2.2,2.4,13.8,25,16,23,9.2,9.2,2.08,2.38,1.46,1.18
11,CNJ02_1_104,R9C41,9,41,3.54545454545455,0.454545454545455,2.45454545454545,0.545454545454545,0.0909090909090909,6.61454545454546,4.23,1.5,0.1106,24.5027272727273,18.4054545454545,3.04090909090909,20.7272727272727,3.06181818181818,0.363636363636364,0.636363636363636,1.72727272727273,0.818181818181818,1.55542302676488,0.765940119645756,0.989336177019462,88.6144982940974,481.044143308602,447.773078641725,1.3312753136422055,2.694814814814822,348.7,599.9,264.6,398.3,2.7,2.6,23.8,33.6,16,25,8.8,7.9,2.46,2.62,1.68,1.61
11,CNJ02_1_105,R9C42,9,42,4.7,2.2,1.5,0.7,0.3,3.454,4.23,1.425,0.0684,22.07,18.109,2.528,31.4,2.754,1.4,1.2,2.5,0.9,1.32300605353021,0.654739692701061,0.991367630550072,117,471.340082780763,458.863433530684,1.2187310177259925,2.3026666666666666,610.3,592.1,547.2,485.4,2.1,2.3,10.2,17.9,21,33,8.1,8.4,2.33,2.52,1.89,1.34
11,CNJ02_1_106,R9C43,9,43,3.8,0.3,2.1,1.2,0.2,6.696,3.35,1.93333333333333,0.0882,23.385,20.371,3.348,27.2,3.04,1.4,1.2,1.8,0.9,1.34443323326222,0.668393502513594,0.988547993964483,117.204832764699,488.668762294761,469.260641239083,1.1479554268322616,3.188571428571428,416.4,479.9,339.8,353.2,2.6,2.6,18.3,26.1,19,24,7.9,8.4,2.65,2.66,1.44,1.03
11,CNJ02_1_107,R9C44,9,44,4.3,2.2,1.5,0.3,0.3,3.525,3.8,1.35,0.0779,23.703,16.679,2.43,16.6,2.939,1.1,1.4,1.9,0.7,1.40908698560512,0.704524772988865,0.989343824001222,90.7048327646991,456.783991989004,444.307342738925,1.4211283650098927,2.35,185.1,332.1,44.9,39.9,2.8,2.2,75.4,88,32,42,8.4,8.8,2.6,2.43,1.64,1.21
