year,accession_name,accession,row,column,BL,BW,BM,NS,NP,NB,TBM,TY,SFY,MFW,PFR,Tacy,Brix,TA,PAC
2011,CNJ02_1_130,R10C14,10,14,21.182,16.374,2.038,26,5.2,1.2,2.319,370.4,226.1,2.45,38.45,22.5,9.149999999999999,2.005,1.845
2011,CNJ02_1_131,R10C15,10,15,25.97,18.89,3.062,23.2,4.2,2,5.632,261.29999999999995,147,2.4000000000000004,43.150000000000006,34.5,8.7,2.315,1.71
2011,CNJ02_1_132,R10C16,10,16,23.67,17.53,2.522,29.1,3.4,1.9,4.412,304.55,194.5,2.25,36.099999999999994,13,8.600000000000001,2.39,NA
2011,CNJ02_1_133,R10C17,10,17,21.012,18.132,2.288,25.5,4.3,2.7,5.455,351.25,311.3,2.15,11.25,18.5,9,2.52,1.8599999999999999
2011,CNJ02_1_134,R10C18,10,18,21.059,17.437,2.339,24.4,4.8,1.8,4.065,369.35,245.2,2.25,34.45,18.5,8.8,2.23,1.155
2011,CNJ02_1_135,R10C19,10,19,18.4888888888889,16.6222222222222,1.797,22.4,4.1,2.1,3.221,319.95,181.85,1.6,44.55,22,8.9,2.19,2.175
2011,CNJ02_1_136,R10C20,10,20,20.71,17.93,2.456,23.6,5.7,2.7,5.781,649,539.35,2.2,16.35,18,8.9,2.17,1.295
2011,CNJ02_1_137,R10C21,10,21,24.288,17.817,2.473,19.2,3.6,2,4.507,352.55,168.2,2.3499999999999996,50.55,27,8.649999999999999,2.325,2.0300000000000002
2011,CNJ02_1_138,R10C22,10,22,18.853,17.957,2.275,21.4,4,1.8,3.703,462.2,328.6,1.9500000000000002,28.75,27.5,9,2.3899999999999997,1.79
2011,CNJ02_1_139,R10C23,10,23,20.96,16.978,2.101,20.4,5.11111111111111,2.77777777777778,4.914,305.75,246.7,2,19.299999999999997,32.5,9,2.285,1.66
2011,CNJ02_1_14,R8C5,8,5,21.043,18.311,2.581,27,4.22222222222222,2,4.67,272.25,208.3,2.0999999999999996,24.35,35,8.649999999999999,2.495,2.075
2011,CNJ02_1_140,R10C24,10,24,20.3344444444444,18.5555555555556,2.53222222222222,22.9,4,1.6,3.496,423.54999999999995,204.64999999999998,2.45,51.85,38.5,8.6,2.4,1.015
2011,CNJ02_1_141,R10C25,10,25,21.83,17.19,2.296,20.3,4.9,2.5,5.222,319.79999999999995,142.35,2.3499999999999996,56.4,28,8.5,2.19,1.7799999999999998
2011,CNJ02_1_142,R10C26,10,26,21.3,17.27,2.314,28.4,3.7,1.9,3.893,373.95,304.5,2.55,18.3,25,9,2.23,1.4
2011,CNJ02_1_143,R10C27,10,27,20.73,18.05,2.505,24.5,5.1,2.8,5.827,380.9,288.5,1.95,22.95,26,9.350000000000001,2.275,1.52
2011,CNJ02_1_144,R10C28,10,28,20.97,18,2.46,21.9,3.8,2,4.537,564.35,453.45,2.25,22,23.5,8.8,2.365,1.625
2011,CNJ02_1_145,R10C29,10,29,23.576,18.009,2.596,21.6,4.6,2.3,4.874,404.54999999999995,266.9,2.4,34.8,33,8.7,2.3449999999999998,1.6400000000000001
2011,CNJ02_1_146,R10C30,10,30,23.844,18.063,2.743,29.2,6.1,1.9,4.487,545.35,389,2.55,28,30,8.7,2.39,1.7449999999999999
