Day#,2011,2012,2013,2014,
240,0,0,0,0,
241,0,0,0,0,
242,0,0,0,0,
243,0,0,0,0,
244,0,0,0,0,
245,0,0,0,0,
246,0,0,0,0,
247,0,0,0,0,
248,0,0,0,0,
249,1,0,0,0,
250,1,0,0,6,
251,1,0,0,6,
252,1,0,0,6,
253,1,0,0,6,
254,1,0,0,6,
255,1,0,0,6,
256,1,0,0,6,
257,1,0,0,6,
258,1,0,0,13,
259,1,0,0,13,
260,1,0,5,15,
261,1,0,5,24,
262,1,0,5,32,
263,1,0,5,32,
264,3,0,5,32,
265,3,0,5,32,
266,3,0,5,36,
267,3,0,15,44,
268,3,0,24,50,
269,3,0,24,51,
270,3,0,24,51,
271,3,0,24,51,
272,3,0,24,51,
273,3,0,24,53,
274,3,0,26,59,
275,3,0,26,59,
276,3,6,26,59,
277,3,14,26,59,
278,3,14,26,59,
279,7,20,26,59,
280,7,30,32,59,
281,9,39,41,59,
282,9,41,41,59,
283,17,41,41,59,
284,17,41,48,59,
285,17,41,60,59,
286,20,41,74,59,
287,29,41,82,59,
288,31,41,82,60,
289,34,41,85,60,
290,44,41,97,60,
291,51,46,107,60,
292,53,46,107,70,
293,66,46,107,73,
294,72,47,107,84,
295,84,59,112,94,
296,91,69,121,108,
297,91,79,121,123,
298,91,82,121,136,
299,91,90,121,142,
300,91,92,121,153,
301,91,107,121,158,
302,96,131,121,171,
303,107,142,121,180,
304,115,147,121,180,
305,125,152,125,180,
306,133,159,138,180,
307,139,166,146,189,
308,140,180,159,204,
309,148,195,176,215,
310,159,205,196,220,
311,177,213,211,224,
312,196,226,231,239,
313,206,235,246,250,
314,212,236,263,254,
315,225,254,264,263,
316,235,263,267,278,
317,245,272,273,287,
318,251,272,286,293,
319,256,272,303,299,
320,256,272,326,313,
321,256,287,342,313,
322,261,300,349,313,
323,272,306,355,322,
324,280,308,361,329,
325,291,308,374,339,
326,301,308,387,345,
327,306,310,397,361,
328,319,327,404,361,
329,342,339,426,366,
330,346,348,440,379,
331,365,357,444,391,
332,371,357,463,400,
333,375,357,481,408,
334,379,366,486,422,
335,386,381,494,436,
336,402,386,507,447,
337,414,393,519,457,
338,428,405,522,460,
339,438,415,527,460,
340,449,415,530,468,
341,457,415,541,489,
342,462,433,547,489,
343,465,439,547,513,
344,472,460,548,523,
345,485,468,548,527,
346,486,475,559,527,
347,501,479,583,534,
348,501,489,598,547,
349,501,496,602,566,
350,501,503,611,567,
351,506,525,616,576,
352,511,528,618,583,
353,517,531,620,592,
354,523,544,629,600,
355,532,548,641,600,
356,543,549,655,600,
357,553,556,678,601,
358,562,574,692,622,
359,563,580,705,622,
360,563,592,729,627,
361,563,596,739,632,
362,572,614,758,639,
363,579,622,772,652,
364,585,631,786,671,
365,590,636,803,680,
1,596,642,816,689,
2,603,659,839,703,
3,612,659,844,703,
4,619,659,850,704,
5,627,666,863,714,
6,631,673,872,721,
7,637,678,880,721,
8,637,686,891,721,
9,637,694,895,725,
10,638,704,901,738,
11,645,712,907,739,
12,645,717,911,754,
13,645,728,916,754,
14,645,735,927,762,
15,657,735,928,771,
