Day#,2011,2012,2013,2014,
16,673,747,952,783,
17,673,757,976,790,
18,691,770,1000,803,
19,714,783,1009,803,
20,731,793,1017,803,
21,739,799,1031,803,
22,739,811,1042,803,
23,739,820,1042,803,
24,739,827,1042,803,
25,747,848,1042,803,
26,766,867,1042,803,
27,771,870,1042,803,
28,778,887,1047,818,
29,785,902,1059,818,
30,793,919,1070,818,
31,796,927,1071,818,
32,810,929,1078,825,
33,822,947,1078,830,
34,829,962,1078,843,
35,836,976,1082,863,
36,850,995,1082,871,
37,867,999,1091,895,
38,877,1009,1102,897,
39,894,1021,1112,905,
40,894,1032,1134,905,
41,894,1040,1137,906,
42,902,1060,1143,906,
43,913,1060,1150,906,
44,922,1071,1163,906,
45,925,1081,1176,921,
46,940,1101,1192,935,
47,946,1115,1199,946,
48,955,1128,1223,946,
49,955,1137,1224,949,
50,963,1159,1230,957,
51,972,1177,1236,970,
52,993,1182,1245,982,
53,998,1191,1251,994,
54,1006,1193,1264,1004,
55,1017,1204,1282,1014,
56,1029,1228,1301,1036,
57,1046,1244,1316,1039,
58,1061,1245,1331,1041,
59,1068,1256,1338,1046,
60,1084,1263,1362,1046,
61,1089,1275,1380,1056,
62,1093,1293,1404,1072,
63,1108,1294,1417,1074,
64,1114,1318,1433,1076,
65,1114,1337,1441,1086,
66,1130,1348,1463,1086,
67,1143,1352,1487,1105,
68,1159,1352,1503,1112,
69,1163,1356,1516,1131,
70,1166,1373,1522,1141,
71,1177,1376,1524,1152,
72,1187,1382,1524,1161,
73,1203,1382,1537,1162,
74,1213,1382,1556,1173,
75,1221,1392,1568,1177,
76,1224,1394,1592,1197,
77,1224,1405,1612,1197,
78,1227,1416,1627,1210,
79,1242,1425,1646,1224,
80,1251,1425,1660,1234,
81,1261,1425,1675,1247,
82,1284,1425,1689,1252,
83,1308,1425,1697,1275,
84,1324,1425,1712,1281,
85,1335,1426,1736,1290,
86,1349,1439,1752,1300,
87,1360,1451,1760,1312,
88,1368,1456,1770,1319,
89,1378,1457,1783,1319,
90,1402,1465,1791,1324,
91,1426,1482,1794,1341,
92,1436,1495,1799,1354,
93,1446,1503,1815,1366,
94,1449,1509,1826,1372,
95,1451,1510,1837,1384,
96,1458,1517,1850,1393,
97,1471,1527,1864,1408,
98,1490,1535,1866,1411,
99,1503,1543,1868,1411,
100,1512,1543,1868,1415,
101,1512,1547,1868,1419,
102,1512,1554,1868,1419,
103,1513,1566,1869,1419,
104,1516,1576,1879,1422,
105,1525,1581,1888,1422,
106,1533,1581,1888,1425,
107,1533,1581,1888,1441,
108,1534,1581,1888,1457,
109,1534,1581,1892,1475,
110,1537,1581,1892,1486,
111,1537,1589,1892,1495,
112,1549,1589,1904,1504,
113,1554,1589,1911,1512,
114,1554,1593,1924,1512,
115,1554,1604,1933,1522,
116,1554,1613,1935,1527,
117,1554,1622,1942,1527,
118,1554,1624,1951,1534,
119,1554,1629,1960,1543,
120,1557,1640,1960,1547,
121,1565,1648,1960,1554,
122,1565,1648,1968,1554,
123,1565,1648,1974,1554,
124,1565,1648,1974,1556,
125,1573,1648,1981,1559,
126,1582,1648,1990,1559,
127,1585,1648,1994,1567,
128,1590,1656,1994,1575,
129,1591,1656,1994,1575,
130,1594,1656,1994,1575,
131,1600,1656,1994,1575,
132,1600,1659,1994,1575,
133,1601,1665,1994,1575,
134,1601,1665,1996,1575,
135,1601,1665,2007,1575,
136,1601,1665,2009,1575,
137,1601,1665,2009,1575,
138,1601,1665,2009,1575,
139,1601,1671,2009,1580,
140,1601,1676,2009,1587,
141,1601,1676,2009,1590,
142,1601,1676,2009,1590,
143,1601,1676,2009,1590,
144,1601,1676,2009,1590,
145,1601,1676,2009,1590,
146,1601,1676,2014,1591,
147,1601,1676,2015,1591,
148,1601,1676,2023,1591,
149,1601,1676,2023,1591,
150,1601,1676,2023,1591,
