Day#,2011,2012,2013,2014,
166,1849.51,1954.05,1544.32,1532.74,
167,1878.17,1978.79,1574.59,1561.43,
168,1911.89,2002.77,1606.37,1599.84,
169,1946.49,2025.6,1634.3,1642.97,
170,1978.64,2045.81,1661.09,1673.71,
171,2007.68,2074.97,1686.04,1702.27,
172,2037.34,2115.35,1711.72,1729.75,
173,2072.74,2160.6,1739.99,1756.76,
174,2109.8,2197.74,1771.23,1785.06,
175,2142.66,2231.78,1807.22,1813.89,
176,2175.3,2263.78,1843.3,1847.75,
177,2207.77,2294.86,1883.36,1882.08,
178,2240.36,2320.54,1923.12,1913.13,
179,2272.16,2349.05,1959.93,1942.24,
180,2308.6,2384.25,1993.82,1970.4,
181,2339.15,2423.58,2026.91,2001.49,
182,2369.86,2463.13,2060.31,2038.25,
183,2401.92,2503.71,2096.17,2078.41,
184,2434.75,2541.38,2132.48,2116.04,
185,2470.92,2577.34,2171.51,2143.81,
186,2507.92,2617.92,2211.29,2174.24,
187,2543.16,2660.08,2254.04,2203.46,
188,2577.57,2699.39,2296.42,2241.58,
189,2610.65,2743.73,2331.69,2282.83,
190,2647.53,2782.42,2368.13,2318.29,
191,2682.46,2817.02,2406.44,2350.3,
192,2720.12,2849.54,2443.81,2382.5,
193,2762.57,2882.44,2475.47,2414.11,
194,2802.2,2913.53,2512.35,2448.65,
195,2833.94,2947.19,2552.27,2485.87,
196,2864.97,2981.03,2594.41,2519.7,
197,2898.76,3018.71,2636.99,2549.88,
198,2932.86,3057.38,2679.29,2578.96,
199,2971.95,3100.01,2722.87,2606,
200,3012.33,3145.65,2769.05,2633.36,
201,3048.83,3179.35,2813.17,2662.97,
202,3091.35,3207.76,2849.78,2691.85,
203,3137.83,3235.8,2886.55,2722.96,
204,3186.66,3266.13,2924.29,2757.87,
205,3227.98,3301.3,2960.76,2791.07,
206,3262.84,3343.64,2986.52,2821.35,
207,3301.92,3380.01,3016.67,2848.82,
208,3338.65,3416.47,3047.2,2882.33,
209,3373.1,3454.77,3078.11,2915.36,
210,3411.61,3492.01,3111.36,2943.11,
211,3450.92,3524.22,3140.42,2970.96,
212,3487.27,3555.76,3170.01,2999.23,
213,3526.48,3588.02,3198.89,3028.48,
214,3563.56,3618.99,3233.71,3053.16,
215,3596.86,3654.59,3264.12,3079.41,
216,3628.51,3693.4,3299.45,3109.22,
217,3660.33,3732.18,3325.94,3140.58,
218,3694.5,3773.95,3351.97,3170.61,
219,3736.04,3807.72,3382.22,3200.47,
220,3777.65,3847.41,3418.21,3227.85,
221,3812.53,3884.2,3457.5,3256.27,
222,3848.15,3919.74,3493.75,3287.05,
223,3879.63,3954.02,3525.7,3316.14,
224,3909.71,3983.51,3558.02,3346.78,
225,3940.31,4022.2,3590.63,3378.31,
226,3970.51,4052.65,3618.04,3406.07,
227,4001.22,4085.59,3641.62,3429.37,
228,4030.58,4118.54,3665.9,3454.1,
229,4062.44,4152.48,3691.63,3479.9,
230,4095.14,4183.18,3718.91,3507.02,
231,4127.28,4210.44,3744.08,3535.79,
232,4159.61,4239.97,3786.37,3565.93,
233,4194.8,4270.59,3818.9,3596.34,
234,4226.98,4300.87,3848.89,3624.21,
235,4253.87,4330.91,3876.11,3647.93,
236,4282.17,4361.62,3900.81,3673.56,
237,4317.01,4393.48,3929.73,3699.86,
238,4343.15,4427.27,3966.76,3728.61,
239,4376.59,4460.86,3997.39,3758.68,
240,4407.05,4497.43,4028.76,3790.22,
241,4433.71,4526.77,4059.2,3814.55,
242,4459.86,4555.9,4095.58,3840.31,
243,4487.69,4590.11,4133.19,3876.99,
