Day#,2011,2012,2013,2014,
240,-10.5,-18.5,-24,-15.5,
241,-23,-28.5,-44,-39,
242,-45,-37,-58,-59,
243,-62,-45.5,-75.5,-81.5,
244,-84,-52.5,-99.5,-104,
245,-108,-64.5,-123.5,-126.5,
246,-132,-76,-147.5,-149.5,
247,-155.5,-93,-161.5,-164.5,
248,-161,-112.5,-185.5,-178,
249,-166.5,-124.5,-209.5,-182,
250,-180,-139.5,-231.5,-185.5,
251,-204,-161,-255.5,-205.5,
252,-220,-180.5,-274,-217.5,
253,-230.5,-201.5,-286,-240,
254,-243,-214.5,-290.5,-264,
255,-248.5,-229.5,-294,-287,
256,-262.5,-243,-300,-308,
257,-270.5,-257,-308.5,-310,
258,-274,-269.5,-319,-310,
259,-284,-265.5,-322.5,-316,
260,-306,-265,-319.5,-311.5,
261,-312,-272,-343.5,-308.5,
262,-321.5,-274,-356.5,-300.5,
263,-337.5,-283.5,-362,-294,
264,-340,-298,-368.5,-303,
265,-356,-322,-379,-316.5,
266,-377.5,-346,-387,-312,
267,-401,-370,-381,-306.5,
268,-425,-394,-381.5,-304.5,
269,-446.5,-417.5,-399.5,-301.5,
270,-470.5,-441.5,-420,-305,
271,-494.5,-464,-444,-312.5,
272,-514,-485.5,-449,-312,
273,-537,-495,-452,-311,
274,-550,-501,-453,-313,
275,-548,-489.5,-470,-323.5,
276,-541,-474,-494,-333.5,
277,-532,-467,-518,-347.5,
278,-521,-471.5,-531.5,-366,
279,-510.5,-466.5,-543.5,-387.5,
280,-514.5,-461,-525,-403.5,
281,-518,-458.5,-506.5,-400,
282,-521,-459.5,-500.5,-397.5,
283,-517.5,-463.5,-504,-400.5,
284,-525.5,-476.5,-489,-412,
285,-536.5,-484.5,-477,-422.5,
286,-531,-502,-462,-425,
287,-516.5,-520,-463,-420,
288,-507.5,-523,-480.5,-412.5,
289,-500,-526,-472,-420,
290,-496.5,-534,-462.5,-431.5,
291,-487.5,-531,-462,-436,
292,-474,-545,-482.5,-426,
293,-458,-552.5,-482,-415,
294,-447.5,-540.5,-481.5,-410,
295,-431,-525,-475.5,-404.5,
296,-426,-512,-473.5,-383,
297,-427,-505.5,-479.5,-365.5,
298,-439,-496,-483,-349,
299,-458.5,-491.5,-491.5,-337,
300,-482.5,-489,-492,-323,
301,-501,-469,-491.5,-314,
302,-486.5,-448.5,-486.5,-300,
303,-471.5,-431.5,-486.5,-284,
304,-459.5,-417,-486.5,-290,
305,-444,-401.5,-477.5,-301.5,
306,-429,-390.5,-456.5,-304.5,
307,-414,-381.5,-435,-285,
308,-397,-365.5,-412,-267,
309,-377,-349,-391.5,-255.5,
310,-359.5,-336.5,-370.5,-251,
311,-339.5,-325.5,-351.5,-248.5,
312,-315.5,-320,-333.5,-228.5,
313,-299,-316,-315,-211,
314,-281.5,-305.5,-299,-203.5,
315,-265,-281.5,-290,-185.5,
316,-256.5,-269,-289.5,-170,
317,-249,-264,-287.5,-155.5,
318,-240,-274.5,-271,-142,
319,-225,-287,-253.5,-130,
320,-218.5,-287,-232.5,-110.5,
321,-218,-268,-215.5,-111,
322,-199.5,-252,-200.5,-115.5,
323,-182,-235.5,-182.5,-94.5,
324,-170,-232.5,-161,-78.5,
325,-156,-222.5,-139.5,-62.5,
326,-147,-210.5,-121,-48.5,
327,-142,-204,-107,-27.5,
328,-121.5,-186.5,-93,-15.5,
329,-99,-174.5,-70.5,-3.5,
330,-88.5,-166,-54.5,13.5,
331,-69,-164.5,-40,24,
332,-53,-169.5,-22,37,
333,-39,-170,-6.5,52.5,
334,-31,-149,9.5,68,
335,-23.5,-130.5,25.5,83.5,
336,-7.5,-116,44,99.5,
337,8,-100,62.5,113.5,
338,23,-86,70,124,
339,35,-74,78,130,
340,47,-77,89,142,
341,59,-75,104.5,160,
342,71,-53.5,123.5,172,
343,83,-37.5,136,190.5,
344,95.5,-16,154.5,202.5,
345,113,-1.5,154,214,
346,127,14,174,226,
347,143,29,192.5,240,
348,155,46,208.5,258,
349,167,56.5,223,275.5,
350,179,72,240.5,287.5,
351,191,92.5,258,301.5,
352,203,104.5,282,315.5,
353,215.5,122.5,292,332.5,
354,227.5,146.5,306,347.5,
355,241.5,154,324.5,343.5,
356,256,163,341.5,331,
357,269,184,363,334,
358,283,200,378.5,353,
359,295,216.5,394,365,
360,307,235,416,377.5,
361,319,247,433,393,
362,332.5,268.5,453,406.5,
363,347,281,467.5,424,
364,362,296,480,445,
365,376,312,494.5,459,
1,388.5,328,512,474,
2,405,348,534.5,486.5,
3,417,360,546.5,498.5,
4,432.5,372,558.5,510.5,
5,447.5,386,572.5,527,
6,459.5,398.5,587.5,537,
7,471.5,406.5,604,549,
8,483.5,423.5,621,561,
9,495.5,437.5,634,573,
10,507.5,454.5,647.5,590,
11,519.5,472,656.5,597,
12,531.5,487.5,674,616.5,
13,543.5,504,698,626,
14,555.5,516,716.5,648.5,
15,572,528,726.5,662.5,
16,586,543,750,672,
17,598,558,769,681,
18,613.5,574.5,792,689.5,
19,631,588.5,804,689.5,
20,648.5,602,820.5,689.5,
21,660.5,614,838,689.5,
22,672.5,626,850,691.5,
23,684.5,640,862,696.5,
24,696.5,654.5,874,708.5,
25,711.5,674,886,720.5,
26,723.5,692,898,732.5,
27,735.5,701.5,910,744.5,
28,747.5,721,922,762,
29,759.5,739,934,774,
30,774.5,756,950,786,
31,786.5,767,958,798,
32,801.5,774,972,813,
33,817.5,798,984,829.5,
34,829.5,815.5,996,844,
35,842,832.5,1008,859,
36,858,848,1020,871,
37,878.5,861,1032,885,
38,897.5,875.5,1048,897,
39,916,891.5,1060.5,910.5,
40,928,906.5,1081,922.5,
41,940,925,1093,934.5,
42,954.5,938,1107.5,946.5,
43,971,950,1120.5,958.5,
44,988.5,965,1142,970.5,
45,1000.5,982,1158,982.5,
46,1016,1005,1174.5,998.5,
47,1032,1023.5,1188,1013.5,
48,1038.5,1043,1205,1025.5,
49,1037.5,1060,1217,1037.5,
50,1056,1079.5,1230,1054.5,
51,1071,1097,1248.5,1073.5,
52,1087.5,1115.5,1261.5,1092,
53,1099.5,1131,1273.5,1107,
54,1115.5,1140.5,1287.5,1118.5,
55,1134.5,1162,1309.5,1130,
56,1150.5,1185.5,1332,1148,
57,1169,1201.5,1349,1160,
58,1186.5,1213,1368,1172,
59,1196,1231.5,1387,1184,
60,1214,1250.5,1411,1196,
61,1227.5,1271.5,1431,1211.5,
62,1239.5,1291,1448.5,1227.5,
63,1258,1305,1462.5,1239.5,
64,1268.5,1327,1478.5,1251.5,
65,1276,1345,1495.5,1267,
66,1294.5,1361,1516.5,1279,
67,1311.5,1367.5,1534,1291.5,
68,1331,1363,1548.5,1298,
69,1346,1379.5,1563,1320,
70,1364,1395.5,1579,1334,
71,1381,1406.5,1589.5,1342,
72,1397.5,1409,1601.5,1352.5,
73,1415,1401,1620.5,1364.5,
74,1434,1397.5,1637.5,1382,
75,1450,1421,1654.5,1391,
76,1461,1440.5,1675,1411,
77,1459,1454.5,1691.5,1423,
78,1468,1466,1709.5,1439,
79,1486,1467.5,1732,1457,
80,1501.5,1464,1751.5,1474.5,
81,1521.5,1458,1765,1490,
82,1544.5,1449.5,1782,1495,
83,1562,1447,1800.5,1517,
84,1579,1455,1818.5,1529,
85,1595,1473,1833,1542.5,
86,1612.5,1491,1850.5,1554.5,
87,1629,1505.5,1868,1570,
88,1644.5,1500.5,1888,1577.5,
89,1662.5,1502.5,1904,1596.5,
90,1686.5,1517.5,1915.5,1611.5,
91,1709,1541.5,1931,1631.5,
92,1723,1562,1942.5,1648.5,
93,1738,1579.5,1962,1660.5,
94,1737.5,1587.5,1981,1672,
95,1746,1589,1998.5,1696,
96,1759,1602.5,2013,1711.5,
97,1780.5,1617.5,2033.5,1727,
98,1799.5,1629,2043,1741.5,
99,1816.5,1629,2039.5,1743,
100,1831,1631.5,2023,1748.5,
101,1823,1640.5,2002.5,1755.5,
102,1818.5,1659,2003.5,1745.5,
103,1833.5,1674,2026,1742,
104,1840.5,1685,2040.5,1736,
105,1860.5,1680.5,2052,1721,
106,1876.5,1667.5,2070,1720,
107,1880.5,1654.5,2071,1737,
108,1882.5,1634,2065.5,1755.5,
109,1887.5,1639.5,2072.5,1777.5,
110,1887.5,1642,2057.5,1783,
111,1887,1643.5,2066.5,1802.5,
112,1908.5,1633.5,2086,1806,
113,1914.5,1643.5,2104.5,1803.5,
114,1895.5,1663.5,2128,1811,
115,1877,1676.5,2131,1823.5,
116,1856,1683,2136,1832.5,
117,1835,1691,2137.5,1833,
118,1812.5,1702,2142.5,1845.5,
119,1804.5,1715,2144.5,1855,
120,1812,1723.5,2154,1879,
121,1816.5,1732,2157,1892.5,
122,1814.5,1725,2168,1880.5,
123,1802,1736,2180,1875.5,
124,1808,1739,2191,1875,
125,1817,1727.5,2201,1880,
126,1814,1722.5,2217,1881.5,
127,1811.5,1727,2227,1884.5,
128,1810,1733,2229,1892.5,
129,1805.5,1721,2220,1895.5,
130,1807,1705.5,2225.5,1897.5,
131,1809,1701.5,2236,1883,
132,1808,1700.5,2248,1867,
133,1809,1697,2260,1856,
134,1810,1688,2270.5,1848.5,
135,1795,1669,2279.5,1852.5,
136,1777.5,1652.5,2288.5,1837,
137,1766,1633.5,2293,1820.5,
138,1752,1624,2282.5,1815.5,
139,1737.5,1623,2283,1818,
140,1732,1619.5,2283.5,1815.5,
141,1720,1614.5,2265,1807.5,
142,1719.5,1606.5,2245,1796.5,
143,1722.5,1590,2221,1787,
144,1720,1575,2197,1775.5,
145,1700,1554.5,2196.5,1773,
146,1683,1530.5,2208.5,1766.5,
147,1661,1510.5,2209.5,1750.5,
