Day#,2011,2012,2013,2014,
119,3081,2507,3087,3167,
120,3084,2518,3087,3171,
121,3092,2527,3087,3178,
122,3092,2529,3095,3178,
123,3092,2529,3110,3178,
124,3092,2529,3124,3180,
125,3100,2529,3132,3183,
126,3109,2529,3142,3183,
127,3112,2529,3146,3191,
128,3117,2537,3146,3199,
129,3118,2537,3146,3199,
130,3121,2537,3158,3201,
131,3127,2537,3181,3201,
132,3127,2540,3205,3201,
133,3128,2547,3229,3201,
134,3128,2547,3243,3201,
135,3128,2547,3254,3202,
136,3128,2547,3267,3202,
137,3128,2547,3286,3202,
138,3128,2547,3288,3202,
139,3128,2553,3289,3207,
140,3128,2558,3290,3214,
141,3128,2559,3290,3217,
142,3129,2559,3290,3217,
143,3142,2559,3290,3217,
144,3147,2559,3290,3217,
145,3147,2560,3291,3217,
146,3147,2560,3296,3218,
147,3147,2560,3297,3218,
148,3147,2560,3305,3218,
149,3147,2560,3306,3218,
150,3147,2560,3307,3218,
